"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","positive regulation of gene expression","9","144","598","26481","1.62e-2","2.79e-1","2.77","1.00e+0","2.73e-1","5.54e-3","JAG1,PMP22,CTNNB1,HMGA2,HES1,BMPR1B,BMP7,HIF1A,DLL1"
"GOTERM_BP_DIRECT","embryonic forelimb morphogenesis","3","144","37","26481","1.70e-2","2.91e-1","14.91","1.00e+0","2.85e-1","1.07e-3","ALX3,CTNNB1,TRP63"
"GOTERM_BP_DIRECT","cartilage development","4","144","101","26481","1.75e-2","2.94e-1","7.28","1.00e+0","2.87e-1","2.28e-3","BMP7,HIF1A,FGFR3,SOX5"
"GOTERM_BP_DIRECT","positive regulation of multicellular organismal process","3","144","38","26481","1.79e-2","2.94e-1","14.52","1.00e+0","2.87e-1","1.16e-3","BMP7,HIF1A,FGFR3"
"GOTERM_BP_DIRECT","vasculature development","3","144","38","26481","1.79e-2","2.94e-1","14.52","1.00e+0","2.87e-1","1.16e-3","CTNNB1,HIF1A,DLL1"
"GOTERM_BP_DIRECT","forebrain development","4","144","102","26481","1.80e-2","2.94e-1","7.21","1.00e+0","2.87e-1","2.36e-3","SOX2,CTNNB1,NR2F2,FGFR3"
"GOTERM_MF_DIRECT","signaling receptor binding","8","143","459","24402","1.81e-2","4.13e-1","2.97","9.99e-1","4.09e-1","5.77e-3","ABCA1,WNT11,ITGB5,NXPH3,NRIP1,CTNNB1,ARRB1,ITGAV"
"GOTERM_BP_DIRECT","cochlea development","3","144","39","26481","1.88e-2","3.00e-1","14.15","1.00e+0","2.93e-1","1.25e-3","ADAM10,HES1,FGFR3"
"GOTERM_BP_DIRECT","female gonad development","3","144","39","26481","1.88e-2","3.00e-1","14.15","1.00e+0","2.93e-1","1.25e-3","ARID5B,TRP63,NR2F2"
"UP_SEQ_FEATURE","DOMAIN:EGF-like 5; calcium-binding","3","144","33","22331","1.89e-2","5.61e-1","14.10","1.00e+0","5.57e-1","1.24e-3","JAG2,JAG1,FBLN2"
"GOTERM_BP_DIRECT","response to estradiol","4","144","104","26481","1.89e-2","3.00e-1","7.07","1.00e+0","2.93e-1","2.53e-3","PTCH1,CTNNB1,NR2F2,BMP7"
"GOTERM_BP_DIRECT","fat cell differentiation","4","144","105","26481","1.94e-2","3.04e-1","7.01","1.00e+0","2.97e-1","2.62e-3","HMGA2,CNTN2,ARID5B,MEST"
"GOTERM_CC_DIRECT","ruffle membrane","4","144","106","26676","1.95e-2","2.42e-1","6.99","9.90e-1","2.30e-1","2.64e-3","TIAM1,TPM1,ITGAV,KCNN4"
