# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	11684	4930470P17Rik	1	3.979024e-6	8.513122e-2	8.513122e-2	3.961057e+1	1.009832e-1	4	8.104587e-5	3.210273e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr2_170533984_170534641,chr2_170538308_170538530,chr2_170690348_170690724,chr2_170708937_170709497	4930470P17Rik
Ensembl Genes	5551	Wnt5a	2	5.668987e-6	1.212880e-1	6.064399e-2	1.070238e+1	6.540600e-1	7	5.249277e-4	5.617978e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr14_28089821_28090257,chr14_28466082_28466435,chr14_28484119_28484533,chr14_28505440_28505976,chr14_28506691_28506994,chr14_28511067_28511274,chr14_28972936_28973118	Wnt5a
Ensembl Genes	15888	Tcf7l1	3	1.079292e-5	2.309145e-1	7.697151e-2	3.068579e+1	1.303535e-1	4	1.046176e-4	3.210273e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr6_72709163_72709376,chr6_72755043_72755534,chr6_72763575_72764164,chr6_72806981_72807046	Tcf7l1
Ensembl Genes	460	Tex44	4	3.425258e-5	7.328339e-1	1.832085e-1	5.004270e+1	5.994881e-2	3	4.811301e-5	2.407705e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr1_86434302_86434715,chr1_86441364_86441873,chr1_86442201_86442290	Tex44
Ensembl Genes	461	Ptma	5	5.611804e-5	1.000000e+0	2.401291e-1	4.233431e+1	7.086450e-2	3	5.687360e-5	2.407705e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr1_86434302_86434715,chr1_86441364_86441873,chr1_86442201_86442290	Ptma
Ensembl Genes	14580	Fip1l1	6	6.032746e-5	1.000000e+0	2.151177e-1	4.130776e+1	7.262559e-2	3	5.828699e-5	2.407705e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr5_74593093_74593318,chr5_74633390_74633598,chr5_74645293_74645686	Fip1l1
Ensembl Genes	6737	Ttll12	7	6.640562e-5	1.000000e+0	2.029640e-1	3.998300e+1	7.503190e-2	3	6.021822e-5	2.407705e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr15_83640489_83641139,chr15_83714955_83715089,chr15_83715144_83715346	Ttll12
Ensembl Genes	6738	Scube1	8	9.437252e-5	1.000000e+0	2.523875e-1	3.547867e+1	8.455784e-2	3	6.786343e-5	2.407705e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr15_83640489_83641139,chr15_83714955_83715089,chr15_83715144_83715346	Scube1
Ensembl Genes	15887	Tgoln1	9	1.021939e-4	1.000000e+0	2.429376e-1	3.452949e+1	8.688226e-2	3	6.972894e-5	2.407705e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr6_72709163_72709376,chr6_72755043_72755534,chr6_72763575_72764164	Tgoln1
Ensembl Genes	358	Wnt6	10	1.161222e-4	1.000000e+0	2.484434e-1	1.305178e+2	1.532358e-2	2	1.229822e-5	1.605136e-3	1	8.301005e-2	1.000000e+0	1.000000e+0	1.204673e+1	8.301005e-2	1	1	5.630631e-4	1.000000e+0	chr1_74770739_74771089,chr1_74771497_74771602	Wnt6
